,oct-25,nov-25,categorias
AUXILIAR INICIAL,"$ 387.774,99","$ 392.040,51",0
RECEPCIONISTA - AUXILIAR ADMINISTRATIVO - CADETE,"$ 475.835,85","$ 481.070,04",1
ASISTENTE ADMINISTRATIVO - NIVEL A,"$ 572.348,92","$ 578.644,76",2
ASISTENTE ADMINISTRATIVO - NIVEL B,"$ 625.260,11","$ 632.137,98",3
ADMINISTRATIVO - SECRETARIO - NIVEL A,"$ 678.179,80","$ 685.639,77",4
ADMINISTRATIVO - SECRETARIO - NIVEL B,"$ 739.993,51","$ 748.133,43",5
ADMINISTRATIVO - SECRETARIO - PROFESIONAL INICIAL - OFICIAL DE MARKETING - NIVEL A,"$ 810.088,63","$ 818.999,61",6
ADMINISTRATIVO - SECRETARIO - PROFESIONAL INICIAL - OFICIAL DE MARKETING - NIVEL B,"$ 889.425,72","$ 899.209,41",7
ENCARGADO DE PROCESO INICIAL,"$ 968.839,19","$ 979.496,42",8
ENCARGADO DE PROCESO -  NIVEL A,"$ 1.057.069,78","$ 1.068.697,55",9
ENCARGADO DE PROCESO - NIVEL B,"$ 1.153.565,87","$ 1.166.255,10",10
ENCARGADO DE PROCESO - NIVEL C,"$ 1.267.789,56","$ 1.281.735,24",11
PROFESIONAL - NIVEL A,"$ 1.393.596,88","$ 1.408.926,45",12
PROFESIONAL - NIVEL B,"$ 1.523.901,81","$ 1.540.664,73",13
ENCARGADO DE ÁREA - EJECUTIVO DE CUENTA - NIVEL A,"$ 1.663.516,06","$ 1.681.814,74",14
ENCARGADO DE ÁREA - EJECUTIVO DE CUENTA - NIVEL B,"$ 1.794.669,62","$ 1.814.410,99",15
PROFESIONAL ESPECIALIZADO - EJECUTIVO DE CUENTA - NIVEL A,"$ 1.886.477,26","$ 1.907.228,51",16
PROFESIONAL ESPECIALIZADO - EJECUTIVO DE CUENTA - NIVEL B,"$ 2.041.377,49","$ 2.063.832,65",17
SUPERVISOR  - NIVEL A,"$ 2.234.683,02","$ 2.259.264,53",18
SUPERVISOR - NIVEL B,"$ 2.483.172,96","$ 2.510.487,86",19
