,oct-25,nov-25,categorias
AUXILIAR INICIAL,"$ 387.774,99","$ 392.040,51",0
AUXILAR SOPORTE TECNICO - INFORMATICO - NIVEL A,"$ 475.835,85","$ 481.070,04",1
AUXILAR SOPORTE TECNICO - INFORMATICO - NIVEL B,"$ 572.348,92","$ 578.644,76",2
SOPORTE TECNICO - INFORMÁTICO - NIVEL A,"$ 625.260,11","$ 632.137,98",3
SOPORTE TECNICO - INFORMÁTICO - NIVEL B,"$ 678.179,80","$ 685.639,77",4
SOPORTE TECNICO - INFORMÁTICO - NIVEL C,"$ 739.993,51","$ 748.133,43",5
SOPORTE TECNICO - INFORMÁTICO - NIVEL D,"$ 810.088,63","$ 818.999,61",6
SOPORTE TECNICO - INFORMÁTICO - NIVEL E,"$ 889.425,72","$ 899.209,41",7
PROFESIONAL INFORMÁTICO INICIAL,"$ 968.839,19","$ 979.496,42",8
PROFESIONAL INFORMÁTICO  - NIVEL A,"$ 1.057.069,78","$ 1.068.697,55",9
PROFESIONAL INFORMÁTICO  - NIVEL A 2,"$ 1.153.565,87","$ 1.166.255,10",10
PROFESIONAL INFORMÁTICO  - NIVEL B,"$ 1.267.789,56","$ 1.281.735,24",11
PROFESIONAL INFORMÁTICO  - NIVEL C,"$ 1.393.596,88","$ 1.408.926,45",12
PROFESIONAL INFORMÁTICO  - NIVEL D,"$ 1.523.901,81","$ 1.540.664,73",13
ENCARGADO DE ÁREA - ESPECIALISTA EN SISTEMAS - NIVEL A,"$ 1.663.516,06","$ 1.681.814,74",14
ENCARGADO DE ÁREA - ESPECIALISTA EN SISTEMAS - NIVEL B,"$ 1.794.669,62","$ 1.814.410,99",15
ENCARGADO DE ÁREA - ESPECIALISTA EN SISTEMAS - NIVEL C,"$ 1.886.477,26","$ 1.907.228,51",16
EXPERTO INFORMÁTICO - SUPERVISOR ESPECIALIZADO - NIVEL A,"$ 2.041.377,49","$ 2.063.832,65",17
EXPERTO INFORMÁTICO - SUPERVISOR ESPECIALIZADO - NIVEL B,"$ 2.234.683,02","$ 2.259.264,53",18
EXPERTO INFORMÁTICO - SUPERVISOR ESPECIALIZADO - NIVEL C,"$ 2.483.172,96","$ 2.510.487,86",19
