,oct-25,nov-25,categorias
AUXILIAR DE GRUPO,"$ 678.179,80","$ 685.639,77",4
MEDIO OFICIAL DE EQUIPOS SATELITALES - MANTENIMIENTO DE RED,"$ 739.993,51","$ 748.133,43",5
OFICIAL DE MANTENIMIENTO DE RED - PROYECTISTA - SOBRESTANTE - NIVEL A,"$ 810.088,63","$ 818.999,61",6
OFICIAL DE MANTENIMIENTO DE RED - PROYECTISTA - SOBRESTANTE - NIVEL B,"$ 889.425,72","$ 899.209,41",7
OFICIAL DE MANTENIMIENTO DE RED - PROYECTISTA - SOBRESTANTE - NIVEL C,"$ 968.839,19","$ 979.496,42",8
OFICIAL MÚLTIPLE DE MANTENIMIENTO DE RED - PROYECTISTA PRINCIPAL - SOBRESTANTE,"$ 1.057.069,78","$ 1.068.697,55",9
TÉCNICO ESPECIALIZADO - TÉECNICO PROYECTISTA - TECNICO SOBRESTANTE,"$ 1.153.565,87","$ 1.166.255,10",10
TÉCNICO SUPERIOR EN MANTENIMIENTO  O EN PROYECTOS O EN OBRAS,"$ 1.267.789,56","$ 1.281.735,24",11
EXPERTO EN REDES O EN PROYECTOS O EN OBRAS - NIVEL A,"$ 1.393.596,88","$ 1.408.926,45",12
EXPERTO EN REDES O EN PROYECTOS O EN OBRAS - NIVEL B,"$ 1.523.901,81","$ 1.540.664,73",13
EXPERTO EN REDES O EN PROYECTOS O EN OBRAS - NIVEL C,"$ 1.663.516,06","$ 1.681.814,74",14
EXPERTO EN REDES O EN PROYECTOS O EN OBRAS - NIVEL D,"$ 1.794.669,62","$ 1.814.410,99",15
SUPERVISOR ESPECIALIZADO,"$ 1.886.477,26","$ 1.907.228,51",16
SUPERVISOR ESPECIALIZADO B,"$ 2.041.377,49","$ 2.063.832,65",17
SUPERVISOR SUPERIOR,"$ 2.234.683,02","$ 2.259.264,53",18
JEFE DE SECTOR,"$ 2.483.172,96","$ 2.510.487,86",19
